Ref,Val,Package,PosX,PosY,Rot,Side
"R5","0.001 Ohm 10W","MSRSF_shunt_resistor",23.500000,-30.500000,-90.000000,top
"R6","0.003 Ohm 10W","MSRSF_shunt_resistor",51.000000,-46.500000,180.000000,top
"R8","0.001 Ohm 10W","MSRSF_shunt_resistor",35.000000,-30.500000,-90.000000,top
